asin	title	subcat1	subcat2	obj1	pb1	obj2	pb2	obj3	pb3	obj4	pb4	obj5	pb5	obj6	pb6	obj7	pb7
0007277849	How to Master The Times Crossword: The Times Cryptic Crossword Demystified Hardcover	Humor & Entertainment	Puzzles & Games	crossword_puzzle	100												
000728019X	This Mitchell and Webb Book Hardcover	Humor & Entertainment	Humor	book	60.2354168892												
0007285248	Ship of Rome (Masters of the Sea) Paperback	Literature & Fiction	Genre Fiction	dog	53.7826836109												
0007286120	Delphie and the Birthday Show (Magic Ballerina, Book 6) Paperback	Children's Books	Arts, Music & Photography	umbrella	68.7709391117												
0007287984	The White Raven (The Oathsworn Series, Book 3) Paperback	Literature & Fiction	Genre Fiction	horse	52.733540535												
0007296541	Mog’s ABC Paperback	Children's Books	Early Learning	apple	72.4133491516												
000729932X	Nightstorm and the Grand Slam (Pony Club Secrets, Book 12) Paperback	Children's Books	Growing Up & Facts of Life	horse	74.3962824345												
000730031X	Rosa and the Magic Moonstone (Magic Ballerina, Book 9) Paperback	Children's Books	Arts, Music & Photography	umbrella	63.1252348423												
0007301987	Richard Bandler's Guide to Trance-Formation: Make Your Life Great. Paperback	Health, Fitness & Dieting	Alternative Medicine	tie	84.7672462463												
0007304749	Running Blind / The Freedom Trap Paperback	Literature & Fiction	Action & Adventure	truck	58.686798811												
0007304781	Wyatt’s Hurricane / Bahama Crisis Paperback	Literature & Fiction	Action & Adventure	airplane	78.7926495075												
0007307381	The Times Difficult Su Doku Book 2 (Bk. 2) Paperback	Humor & Entertainment	Puzzles & Games	clock	66.2157356739												
0007309031	Entertaining at Home Hardcover	Cookbooks, Food & Wine	Entertaining & Holidays	wine glass	55.9359133244												
000730904X	Easy Meals: Over 180 Delicious Recipes to get you Through your Busy Life Hardcover	Cookbooks, Food & Wine	Quick & Easy	vase	52.6421368122												
0007309058	Cake Hardcover	Cookbooks, Food & Wine	Baking	cake	69.8598086834												
0007313993	The Times Jumbo Cryptic Crossword Book 9 Paperback	Humor & Entertainment	Puzzles & Games	crossword_puzzle	100												
0007315120	Virolution First Printing Edition	Science & Math	Biological Sciences	zebra	99.9994635582												
0007319290	The Times Cryptic Crossword Book 14 Paperback	Humor & Entertainment	Humor	crossword_puzzle	100												
0007325169	Mummy Knew: A terrifying step-father. A mother who refused to listen. A little girl desperate to escape. Paperback	Parenting & Relationships	Family Relationships	wig	90.4606640339												
0007333463	The Prize (Pony Club Rivals, Book 4) Paperback	Children's Books	Animals	horse	93.9376831055												
000734421X	Shatter the Bones Hardcover	Mystery, Thriller & Suspense	Thrillers & Suspense	chair	92.3967719078												
0007345623	I Heart Vegas Paperback	Literature & Fiction	Women's Fiction	bottle	54.1230559349	umbrella	54.9499571323										
0007351747	David Mitchell: Back Story Paperback	Biographies & Memoirs	Arts & Literature	bird	50.6865441799												
0007356374	Londongrad: From Russia with Cash;The Inside Story of the Oligarchs Paperback	Biographies & Memoirs	Historical	tie	74.2666304111												
000736296X	Mummy Told Me Not to Tell: The true story of a troubled boy with a dark secret Paperback	Parenting & Relationships	Family Relationships	wig	68.5746490955												
0007368518	The Times Cryptic Crossword Book 15 Paperback	Humor & Entertainment	Humor	crossword_puzzle	100												
0007368534	The Times Jumbo Cryptic Crossword Book 10 Paperback	Humor & Entertainment	Puzzles & Games	crossword_puzzle	99.9094367027												
0007371861	Crooked Hardcover	Arts & Photography	Music	bakery	97.3358392715												
0007383029	Kitchen Hero Hardcover	Cookbooks, Food & Wine	Regional & International	bottle	71.9532012939	bowl	57.246530056										
0007394764	Great British Railway Journeys Hardcover	Engineering & Transportation	Transportation	boat	52.5611162186												
0007395906	The Peregrine Paperback	Science & Math	Nature & Ecology	bird	95.4454183578												
0007436653	Guinea Pig (Collins Family Pet Guide) Paperback	Crafts, Hobbies & Home	Pets & Animal Care	dog	85.7683897018												
0007447868	A Feast for Crows (A Song of Ice and Fire) Paperback	Literature & Fiction	Genre Fiction	vase	94.3055808544												
0007448473	The Sugar Girls Paperback	Biographies & Memoirs	Historical	car	58.9652597904												
000745256X	Grand Union, Oxford and the South East: Waterways Guide 1 (Collins/Nicholson Waterways Guides) Spiral-bound	Travel	Europe	boat	53.1336426735												
0007452594	Four Counties & the Welsh Canals: Waterways Guide 4 (Collins/Nicholson Waterways Guides) Spiral-bound	Travel	Europe	boat	71.8516349792												
000745337X	The Times Cryptic Crossword Book 16 Paperback	Humor & Entertainment	Humor	crossword_puzzle	100												
0007453477	Times Jumbo Cryptic Crossword 11 Paperback	Humor & Entertainment	Humor	crossword_puzzle	99.4574129581												
0007462271	I Heart London Paperback	Literature & Fiction	Genre Fiction	umbrella	89.404708147												
0007462581	Rachel’s Irish Family Food: 120 classic recipes from my home to yours Hardcover	Cookbooks, Food & Wine	Regional & International	cup	72.3411917686												
000747959X	Mummy’s Little Helper: The heartrending true story of a young girl secretly caring for her severely disabled mother Paperback	Politics & Social Sciences	Politics & Government	wig	98.4431684017												
0007481438	Collins World Flags Sticker Book (Collins Sticker Books) Paperback	Children's Books	Activities, Crafts & Games	umbrella	84.8201036453												
0007488173	Little Mix: Ready to Fly (100% OFFICIAL) Hardcover	Arts & Photography	Music	wig	83.1703186035												
0007491697	The Times Jumbo Cryptic Crossword Book 12 Paperback	Humor & Entertainment	Humor	crossword_puzzle	99.6049702168												
0007492316	Sacrifice (Detective Mark Heckenburg, Book 2) Paperback	Mystery, Thriller & Suspense	Thrillers & Suspense	mask	54.9700319767												
0007497121	2014 Collins Ireland Road Map (Collins Road Map) Map	Travel	Europe	book	69.8877632618												
0007497415	The Ultimate Introduction to NLP: How to build a successful life Paperback	Self-Help	Motivational	umbrella	53.2986104488												
0007518137	How to Do Everything and Be Happy: Your step-by-step, straight-talking guide to creating happiness in your life Paperback	Self-Help	Happiness	chair	53.923201561												
0007851375	Illustrated Encyclopedia of Healing Remedies Paperback	Health, Fitness & Dieting	Alternative Medicine	bottle	80.4177284241												
0020303955	Risotto: More than 100 Recipes for the Classic Rice Dish of Northern Italy Paperback	Cookbooks, Food & Wine	Cooking by Ingredient	bowl	68.7276422977	wine glass	58.3791792393										
0020383142	Old New York Paperback	Literature & Fiction	Short Stories & Anthologies	chair	77.0740926266												
0020418108	Crispus Attucks: Black Leader of Colonial Patriots (Childhood of Famous Americans) Paperback	Children's Books	History	tie	57.4933350086												
0020418205	Clara Barton: Founder of the American Red Cross (Childhood of Famous Americans) Paperback	Children's Books	Literature & Fiction	dog	84.8857343197												
0020419309	Lou Gehrig: One of Baseball's Greatest (Childhood of Famous Americans) Paperback	Children's Books	Biographies	horse	60.6121003628												
0020419902	John Fitzgerald Kennedy: America's Youngest President (Childhood of Famous Americans) Paperback	Children's Books	Literature & Fiction	tie	97.0502912998												
0020420102	Martin Luther King, Jr.: Young Man with a Dream (Childhood of Famous Americans) Paperback	Children's Books	Literature & Fiction	tie	84.2595934868												
0020421303	Babe Ruth: One of Baseball's Greatest (Childhood of Famous Americans) Paperback	Children's Books	Biographies	chair	78.9838910103												
0020430906	Ask Mr. Bear Paperback	Children's Books	Animals	bird	86.1327826977	horse	73.558485508										
002100126X	McGraw Hill Mathematics (Grade 3)	Children's Books	Education & Reference	potted plant	53.0888736248												
0021001278	McGraw Hill Mathematics: Grade 4	Children's Books	Education & Reference	orange	60.3411734104												
002104001X	Macmillan/McGraw-Hill Math, Grade K, Pupil Edition (Consumable) (MMGH MATHEMATICS) 1st Edition	Children's Books	Education & Reference	umbrella	88.1693124771												
0021040028	Macmillan/McGraw-Hill Math, Grade 1, Pupil Edition (Consumable) (MMGH MATHEMATICS) 1st Edition	Children's Books	Education & Reference	cat	90.1064693928												
0021040036	Macmillan/McGraw-Hill Math, Grade 2, Pupil Edition (Consumable) (MMGH MATHEMATICS) 1st Edition	Children's Books	Education & Reference	dog	88.6467218399												
0021057117	California Mathematics Grade 4 (Student Edition: Concepts, Skills, and Problem Solving) Hardcover	Business & Money	Management & Leadership	bicycle	55.168402195												
0021057230	Math Connects, Kindergarten, Consumable Student Edition, Volume 1 1st Edition	Children's Books	Education & Reference	cup	58.8743805885												
0021057273	Math Connects, Grade 2, Consumable Student Edition, Volume 1 1st Edition	Children's Books	Education & Reference	cup	61.8677079678												
0021057281	Math Connects, Grade 2, Consumable Student Edition, Volume 2 1st Edition	Children's Books	Education & Reference	cup	61.8677079678												
0021057370	Math Connects, Grade 1, Vol. 1, Teacher Edition			bird	57.9432010651												
0021057443	Macmillan Mcgraw-hill Math Connects 4 : Teacher Edition [Volume 1]			teddy	60.7991576195												
0021503141	Our Communities			clock	53.0404806137												
0021513457	TimeLinks: Second Grade, People and Places-Unit 1 Culture Student Edition (OLDER ELEMENTARY SOCIAL STUDIES) 1st Edition	Children's Books	Geography & Cultures	bicycle	95.5946326256												
0021513481	TimeLinks: Fifth Grade, The United States, Volume 1 Student Edition (OLDER ELEMENTARY SOCIAL STUDIES) 1st Edition	Children's Books	Geography & Cultures	umbrella	52.2638559341												
0021517371	TimeLinks: First Grade, Student Practice Workbook (OLDER ELEMENTARY SOCIAL STUDIES) 1st Edition	Children's Books	Geography & Cultures	sports ball	69.460183382												
0021523967	TimeLinks: First Grade, All Together-Unit 2 Geography Student Edition (OLDER ELEMENTARY SOCIAL STUDIES) 1st Edition	Children's Books	Geography & Cultures	horse	99.6341884136	apple	51.8482983112										
0021524041	TimeLinks: Our Country and Its Regions, 4th Grade, Vol. 2 1st Edition	Children's Books	Geography & Cultures	horse	66.7181491852												
0021936021	Treasures a Reading/Language Art Program Grammar : Grade 3			dog	77.5232315063	cat	55.430740118										
0021938997	Treasures a Reading/Language Art Program Grammar : Grade 1			cat	63.4734272957	teddy	51.8512487411										
0021987645	Florida Treasures 3.1			dog	90.9142434597												
0021988080	Treasures, A Reading/Language Arts Program, Grade 1, Book 5 Student Edition (ELEMENTARY READING TREASURES) 1st Edition	Children's Books	Education & Reference	teddy	76.3975799084												
0021988110	Treasures: A Reading/Language Arts Program 3.1 1st Edition	Politics & Social Sciences	Social Sciences	teddy	82.8550994396												
0021988137	Treasures: A Reading/Language Arts Program (Grade 4, Student Edition) 1st Edition	Children's Books	Education & Reference	broccoli	51.5122115612												
0022008314	Phonics / Spelling Practice Book, Grade 1 (Treasures)			cat	53.2005250454												
0022017283	Macmillan/McGraw-Hill Treasures Level 1.4 (A Reading/Language Arts Program) Hardcover	Children's Books		sports ball	80.6247889996												
0022017364	Treasures, Grade 5: Reading/Language Arts Program			clock	53.040933609												
0022446532	McGraw-Hill Language Arts Grade 4 (Hardcover) Hardcover	Children's Books	Education & Reference	vase	59.7147643566												
0022800360	McGraw-Hill Science Grade 3 Macmillian/McGraw-Hill Edition Edition	Children's Books	Science, Nature & How It Works	apple	71.7949032784	bird	52.9785394669										
0022800387	McGraw-Hill Science (Grade 5)	Children's Books	Science, Nature & How It Works	cat	99.0280985832												
0022801553	McGraw-Hill Science, Grade 3, Reading In Science Workbook (OLDER ELEMENTARY SCIENCE) 1st Edition	Teen & Young Adult	Education & Reference	clock	66.804087162	apple	51.1338412762										
0022812113	McGraw Hill Science: Grade 1			teddy	88.8567328453												
0022812121	Macmillan Mcgraw Hill Science 2			cat	94.3612754345												
002281213X	Science Macmillan McGraw-Hill 3 Hardcover			dog	67.6536679268												
0022841350	Science - Grade 2: A Closer Look			bird	54.7260522842												
0022841377	Science: A Closer Look, Grade 4 Hardcover	Teen & Young Adult		broccoli	59.8162531853												
0022849661	Health & Wellness, Blue Book Hardcover	Children's Books	Education & Reference	bottle	96.8946278095												
0023219513	Foods: A Scientific Approach (3rd Edition) 3rd Edition	Crafts, Hobbies & Home	Home Improvement & Design	umbrella	62.6283586025												
0023370017	Women and Religion 1st Edition	New, Used & Rental Textbooks	Humanities	cat	65.5038833618												
0023393505	Principles of Food Preparation, Laboratory Manual (2nd Edition) 2nd Edition	Business & Money	Industries	bottle	52.9889822006												
0023606924	Algorithms	Computers & Technology	Programming	apple	81.0400605202												
002415654X	Lines and Fields in Electronic Technology 1st Edition	Crafts, Hobbies & Home	Home Improvement & Design	clock	63.482517004												
0025005715	A Second Look in the Rearview Mirror: Further Autobiographical Reflections of a Philosopher at Large Hardcover	Biographies & Memoirs	Professionals & Academics	tie	85.5871260166												
0025668609	Great Sausage Recipes and Meat Curing Hardcover	Cookbooks, Food & Wine	Cooking by Ingredient	cup	78.9708673954	bowl	69.7219729424										
0026217457	Vegetarian Times Complete Cookbook Hardcover	Cookbooks, Food & Wine	Vegetarian & Vegan	pizza	68.9650177956												
0026353911	Glencoe Literature The Readers Choice, Course 3, Grade 8: Teacher Wraparound Edition Teachers Guide Edition	Literature & Fiction	History & Criticism	sports ball	99.9172210693												
0026410036	Bienvenidos Writing Activities Workbook and Student Tape Manual 2nd ed. Edition	Teen & Young Adult	Education & Reference	car	92.996263504												
0026412616	¡Buen viaje!: Level 1, Writing Activities Workbook 3rd Edition	Teen & Young Adult	Education & Reference	chair	83.5624396801	umbrella	65.6889259815										
0026412675	Buen viaje! Glencoe Spanish 1 Testing Program			chair	85.6246650219	umbrella	62.5353872776										
002643976X	Glencoe Accounting: 1st Year Course, Adventure Travels 4th Edition	New, Used & Rental Textbooks	Business & Finance	boat	67.5963878632	bicycle	62.81285882										
0026441918	Marketing Essentials, Third Edition 3rd Edition	Business & Money	Marketing & Sales	tv	52.6527225971												
0026638959	Human Heritage 5th Edition	Teen & Young Adult	Education & Reference	mask	88.442581892	vase	69.9465692043										
0026766515	Tresors du temps (French Level 4) (French) 3rd Edition	Teen & Young Adult	Education & Reference	dog	54.0636360645												
0027172805	Better Not Get Wet, Jesse Bear Hardcover	Children's Books	Animals	teddy	88.1005823612												
002717350X	Jesse Bear, What Will You Wear? Hardcover	Children's Books	Growing Up & Facts of Life	sports ball	81.5965294838	teddy	61.7583036423										
0027173518	It's About Time, Jesse Bear: And Other Rhymes Hardcover	Children's Books	Animals	teddy	82.9390048981												
0027197107	The Cat Who Went to Heaven Hardcover	Children's Books	Geography & Cultures	cat	70.8384394646	dog	61.9407773018										
0027379108	The Big Snow Hardcover	Children's Books	Animals	vase	70.7748532295												
0027426416	The Amazing Impossible Erie Canal Hardcover	Children's Books	History	horse	58.9339196682												
0027436225	Misty of Chincoteague Hardcover	Children's Books	Animals	horse	54.3780565262												
0027448002	Count and See Hardcover	Children's Books	Education & Reference	sports ball	95.7708835602												
0027617319	Macmillan First Dictionary Hardcover	Children's Books	Education & Reference	dog	69.6241438389												
0027623629	Simon & Schuster's Children's Guide To Dinosaurs And Other Prehistoric Animals Hardcover	Children's Books	Animals	bird	98.9670813084	dog	94.1224217415										
0028034635	Diesel Mechanics, Workbook 4th Edition	Engineering & Transportation	Automotive	motorcycle	50.7663011551												
0028172442	Communication Applications 1st Edition	Business & Money	Business Culture	tie	56.0770332813												
0028181484	Glencoe Writer's Choice: Grammar and Composition Grade 7 3rd Edition	Teen & Young Adult	Education & Reference	tv	82.8437507153	potted plant	64.9176478386										
0028230485	Economics: Principles & Practices Student Edition 1995 1st Edition	New, Used & Rental Textbooks	Business & Finance	bakery	71.96	bowl	64.6134436131										
0028253264	Glencoe Algebra 1: Integration, Applications, Connections 4th Edition	Science & Math	Mathematics	bird	50.0482678413												
0028281578	Science Interactions Course 2 3rd Edition	Children's Books	Science, Nature & How It Works	vase	50.8036077023												
0028282094	Chemistry: Concepts and Applications	Teen & Young Adult	Education & Reference	vase	97.352296114	bottle	62.8459632397										
0028332407	Pre-Algebra	Science & Math	Mathematics	bicycle	51.6967236996												
0028603605	The Complete Book of Sauces Paperback	Cookbooks, Food & Wine	Cooking by Ingredient	potted plant	78.6030113697	bowl	71.5915024281	apple	65.9949839115	bottle	52.2629320621						
0028603672	Betty Crocker's Bread Machine Cookbook (Betty Crocker Home Library) Paperback	Cookbooks, Food & Wine	Baking	bakery	91.9992744923	sandwich	66.0291731358										
0028603869	Vegetarian Times Vegetarian Beginner's Guide Paperback	Cookbooks, Food & Wine	Vegetarian & Vegan	teddy	73.6520111561	bottle	61.073744297										
002860847X	Smokin' Joe: The Autobiography of a Heavyweight Champion of the World, Smokin' Joe Frazier Hardcover	Sports & Outdoors	Biographies	swimming_trunks	74.8967587948	donut	56.5088748932										
0028609883	California Pizza Kitchen Cookbook Hardcover	Cookbooks, Food & Wine	Regional & International	pizza	78.636187315												
0028609980	Memories of a Cuban Kitchen Paperback	Cookbooks, Food & Wine	Regional & International	bowl	86.0714495182												
0028610067	The Visual Food Encyclopedia: The Definitive Practical Guide to Food and Cooking 1st Edition	Cookbooks, Food & Wine	Cooking Education & Reference	donut	75.8482694626	potted plant	64.1214728355										
0028612124	Webster's New World Crossword Puzzle Dictionary Paperback	Humor & Entertainment	Puzzles & Games	crossword_puzzle	99.36												
0028612345	The Wedding Cake Book Hardcover	Cookbooks, Food & Wine	Baking	cake	83.0134570599												
0028612574	The Naturally Sweet Baker : 150 Decadent Desserts Made With Honey, Maple Syrup, and Other Delicious Alternatives to Refined Sugar Hardcover	Cookbooks, Food & Wine	Special Diet	cake	96.4496195316												
002861349X	New Classic Cocktails Hardcover	Cookbooks, Food & Wine	Beverages & Wine	wine glass	94.7471022606												
0028615883	Vegetarian Times Low-Fat & Fast Paperback	Cookbooks, Food & Wine	Special Diet	bowl	83.1655323505												
0028618521	Weight Watchers Versatile Vegetarian Hardcover	Cookbooks, Food & Wine	Special Diet	cake	60.4028105736	pizza	60.3568613529										
0028619838	Vegetarian Times Low-Fat & Fast Asian Paperback	Cookbooks, Food & Wine	Cooking by Ingredient	pizza	75.18												
0028620577	Ken Schultz's Fishing Encyclopedia Hardcover	Reference	Encyclopedias & Subject Guides	bird	77.44987607												
0028621492	Vegetarian Times Low-Fat & Fast Mexican Paperback	Cookbooks, Food & Wine	Regional & International	pizza	68.9152181149	dining table	59.1127276421										
0028622618	Betty Crocker's Vegetarian Cooking: Easy Meatless Main Dishes Your Family Will Love! Hardcover	Cookbooks, Food & Wine	Vegetarian & Vegan	pizza	98.4076201916	fork	82.3847353458										
0028623355	Nick Malgieri's Perfect Pastry: Create Fantastic Desserts by Mastering the Basic Techniques Paperback	Cookbooks, Food & Wine	Baking	pizza	74.1283476353												
0028630238	Betty Crocker Best Bread Machine Cookbook: The Goodness of Homemade Bread the Easy Way (Betty Crocker Cooking) Hardcover-spiral	Cookbooks, Food & Wine	Baking	sandwich	93.209862709												
0028631552	Betty Crocker's Best Chicken Cookbook (Betty Crocker Cooking) Hardcover	Cookbooks, Food & Wine	Cooking by Ingredient	fork	88.5453701019	pizza	70.6798672676										
0028633792	The Complete Idiot's Guide to the American Revolution Paperback	History	Americas	horse	77.1087050438												
0028634691	Betty Crocker's Slow Cooker Cookbook (Betty Crocker Cooking) Spiral-bound	Cookbooks, Food & Wine	Kitchen Appliances	bowl	56.8616271019												
0028636945	The Complete Idiot's Guide to Writing Well 1st Edition	Reference	Writing, Research & Publishing Guides	chair	57.2644233704	book	50.7860839367										
0028637623	Betty Crocker's Low-Fat, Low-Cholesterol Cooking Today (Betty Crocker Cooking) Hardcover	Cookbooks, Food & Wine	Regional & International	fork	57.8842878342												
0028639073	Complete Idiot's Guide to Simple Living Paperback	Crafts, Hobbies & Home	Home Improvement & Design	dog	55.5306196213												
0028644166	Mob Star: The Story of John Gotti New Ed Edition	Biographies & Memoirs	Specific Groups	tie	79.9868643284												
0028648641	20/20: 20 New Sounds of the 20th Century 1st Edition	Arts & Photography	Music	book	66.9845223427												
0029079373	The Elementary Forms of Religious Life Paperback	Religion & Spirituality	Religious Studies	tie	66.9469892979												
0029096200	Comparative Analysis of Complex Organizations, Rev. Ed. Revised Edition	Business & Money	Management & Leadership	clock	63.3801698685												
0029123704	The Black Death: Natural and Human Disaster in Medieval Europe	Medical Books	Medicine	cat	73.1620550156												
0029190908	Marketing Imagination, New, Expanded Edition Paperback	Business & Money	Management & Leadership	vase	74.057662487												
002921291X	Domestic Revolutions: A Social History Of American Family Life	New, Used & Rental Textbooks	Humanities	horse	66.8297469616												
0029236827	Racial Matters: The FBI's Secret File on Black America, 1960-1972 Reprint Edition	New, Used & Rental Textbooks	Humanities	tie	85.9700918198												
0030020786	Principles of Instrumental Analysis, 5th Edition 5th Edition	Science & Math	Chemistry	maze	89.52												
0030103525	ADVT’G,PROMO&SUPP ASPECTS OF MKT COM,4E+ (The Dryden Press Series in Marketing) 4th Edition	Business & Money	Marketing & Sales	clock	63.1593048573												
