asin	title	subcat1	subcat2	obj1	pb1	obj2	pb2	obj3	pb3	obj4	pb4	obj5	pb5	obj6	pb6	obj7	pb7
0007225709	Soldiers: Army Lives and Loyalties from Redcoats to Dusty Warriors Paperback	History	Military	stop sign	85.1854383945												
0007228953	Mog the Forgetful Cat Board book	Children's Books	Literature & Fiction	vase	69.1509664059												
0007230591	Born to Run (Collector's Edition) Paperback	Children's Books	Animals	dog	99.4987010956	horse	95.8429276943										
0007236069	Watercolour for the Absolute Beginner Paperback	Arts & Photography	Painting	dining table	54.3607771397	bowl	50.3666341305										
0007237596	A Greedy Man in a Hungry World Paperback	Cookbooks, Food & Wine	Cooking Methods	wine glass	89.1479790211	bottle	79.7886013985	dining table	53.3887565136								
0007247729	Henry: Virtuous Prince Paperback	Biographies & Memoirs	Historical	oscilloscope	72.85												
0007248008	The Times Killer Su Doku Book 3 (Bk. 3) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.9983906746												
0007248946	Learn to Paint: Light and Shade in Watercolour (Collins Learn to Paint Series) Paperback	Arts & Photography	Painting	boat	56.1969339848												
0007251947	Paddington's Suitcase Paperback	Children's Books		teddy bear	69.6482181549												
000725931X	Rachel's Favourite Food for Living Hardcover	Cookbooks, Food & Wine	Entertaining & Holidays	cup	77.024012804												
0007259387	Sketching (Collins 30 Minute) Hardcover	Arts & Photography	Drawing	boat	84.2294096947												
0007264488	The Times Cryptic Crossword Book 13 (Times Crossword) (Bk. 13) Paperback	Humor & Entertainment	Humor	carton	77.526730299	street_sign	52.03										
0007266642	Nowhere to Run Paperback	Parenting & Relationships	Family Relationships	jersey	93.8561975956												
0007267142	Juice Yourself Slim Paperback	Cookbooks, Food & Wine	Beverages & Wine	bowl	91.8163180351												
0007268777	Daddy’s Little Earner: A heartbreaking true story of a brave little girl's escape from violence Paperback	Parenting & Relationships	Family Relationships	wig	74.6014356613												
0007270682	Collins Scottish Birds Paperback	Science & Math	Biological Sciences	bird	99.994790554												
0007270909	Paddington Pocket Library Hardcover	Children's Books		teddy bear	98.8016486168	carton	60.22										
0007272588	The Times Killer Su Doku Book 4 (Bk. 4) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.9979615211												
0007277849	How to Master The Times Crossword: The Times Cryptic Crossword Demystified Hardcover	Humor & Entertainment	Puzzles & Games	crossword_puzzle	100												
000728019X	This Mitchell and Webb Book Hardcover	Humor & Entertainment	Humor	book	60.2354168892												
0007281080	The Sun Two-Speed Crossword Collection Paperback	Humor & Entertainment	Puzzles & Games	stop sign	99.553912878												
0007285248	Ship of Rome (Masters of the Sea) Paperback	Literature & Fiction	Genre Fiction	dog	53.7826836109												
0007286120	Delphie and the Birthday Show (Magic Ballerina, Book 6) Paperback	Children's Books	Arts, Music & Photography	umbrella	68.7709391117												
0007287984	The White Raven (The Oathsworn Series, Book 3) Paperback	Literature & Fiction	Genre Fiction	horse	52.733540535												
0007296541	Mog’s ABC Paperback	Children's Books	Early Learning	apple	72.4133491516												
000729932X	Nightstorm and the Grand Slam (Pony Club Secrets, Book 12) Paperback	Children's Books	Growing Up & Facts of Life	horse	74.3962824345												
000730031X	Rosa and the Magic Moonstone (Magic Ballerina, Book 9) Paperback	Children's Books	Arts, Music & Photography	umbrella	63.1252348423												
0007301987	Richard Bandler's Guide to Trance-Formation: Make Your Life Great. Paperback	Health, Fitness & Dieting	Alternative Medicine	tie	84.7672462463												
0007304749	Running Blind / The Freedom Trap Paperback	Literature & Fiction	Action & Adventure	truck	58.686798811												
0007304781	Wyatt’s Hurricane / Bahama Crisis Paperback	Literature & Fiction	Action & Adventure	airplane	78.7926495075												
0007305850	The Times Killer Su Doku 5 (Bk. 5) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.999332428												
0007307381	The Times Difficult Su Doku Book 2 (Bk. 2) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	93.4843540192	clock	66.2157356739										
0007309031	Entertaining at Home Hardcover	Cookbooks, Food & Wine	Entertaining & Holidays	wine glass	55.9359133244												
000730904X	Easy Meals: Over 180 Delicious Recipes to get you Through your Busy Life Hardcover	Cookbooks, Food & Wine	Quick & Easy	vase	52.6421368122												
0007309058	Cake Hardcover	Cookbooks, Food & Wine	Baking	cake	69.8598086834												
0007313969	The Times Codeword Paperback	Humor & Entertainment	Puzzles & Games	Band_Aid	53.6027669907												
0007313993	The Times Jumbo Cryptic Crossword Book 9 Paperback	Humor & Entertainment	Puzzles & Games	crossword_puzzle	100												
0007315120	Virolution First Printing Edition	Science & Math	Biological Sciences	zebra	99.9994635582												
0007319290	The Times Cryptic Crossword Book 14 Paperback	Humor & Entertainment	Humor	crossword_puzzle	100												
000731969X	The Times Killer Su Doku 6 (Killer Su Doku, Book 6) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.9993681908												
0007325169	Mummy Knew: A terrifying step-father. A mother who refused to listen. A little girl desperate to escape. Paperback	Parenting & Relationships	Family Relationships	wig	90.4606640339												
0007326637	The Times Ultimate Killer Su Doku (Times Su Doku) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	98.4651088715												
0007333463	The Prize (Pony Club Rivals, Book 4) Paperback	Children's Books	Animals	horse	93.9376831055												
000733933X	Forever in My Heart: The Story of My Battle Against Cancer Paperback	Biographies & Memoirs	Arts & Literature	bow_tie	60.09												
000734421X	Shatter the Bones Hardcover	Mystery, Thriller & Suspense	Thrillers & Suspense	chair	92.3967719078												
0007345623	I Heart Vegas Paperback	Literature & Fiction	Women's Fiction	stop sign	94.4738388062	bottle	54.1230559349	umbrella	54.9499571323								
0007351445	Captain of Rome (Masters of the Sea) Paperback	Literature & Fiction	Genre Fiction	stop sign	86.6914510727												
0007351747	David Mitchell: Back Story Paperback	Biographies & Memoirs	Arts & Literature	bird	50.6865441799												
0007356374	Londongrad: From Russia with Cash;The Inside Story of the Oligarchs Paperback	Biographies & Memoirs	Historical	tie	74.2666304111												
0007361556	A Christmas Promise Paperback	Literature & Fiction	Genre Fiction	bow_tie	99.6609687805												
0007362544	Dark Blood (Logan McRae, Book 6) Paperback	Mystery, Thriller & Suspense	Mystery	cinema	68.3641195297												
000736296X	Mummy Told Me Not to Tell: The true story of a troubled boy with a dark secret Paperback	Parenting & Relationships	Family Relationships	wig	68.5746490955												
0007364520	The Times Ultimate Killer Su Doku Book 2 Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.6732950211												
0007364539	The Times Fiendish Su Doku Book 4 Paperback	Humor & Entertainment	Puzzles & Games	stop sign	52.053630352												
0007364547	The Times Killer Su Doku Book 7 Paperback	Travel	Europe	oscilloscope	99.998497963												
0007368518	The Times Cryptic Crossword Book 15 Paperback	Humor & Entertainment	Humor	crossword_puzzle	100												
0007368534	The Times Jumbo Cryptic Crossword Book 10 Paperback	Humor & Entertainment	Puzzles & Games	crossword_puzzle	99.9094367027												
0007371861	Crooked Hardcover	Arts & Photography	Music	bakery	97.3358392715												
0007383029	Kitchen Hero Hardcover	Cookbooks, Food & Wine	Regional & International	bottle	71.9532012939	bowl	57.246530056										
0007394764	Great British Railway Journeys Hardcover	Engineering & Transportation	Transportation	boat	52.5611162186												
0007395906	The Peregrine Paperback	Science & Math	Nature & Ecology	bird	95.4454183578												
0007436653	Guinea Pig (Collins Family Pet Guide) Paperback	Crafts, Hobbies & Home	Pets & Animal Care	dog	85.7683897018												
0007440650	The Times Ultimate Killer Su Doku Book 3 Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	96.2397396564												
0007440677	The Times Killer Su Doku Book 8 Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.770373106												
0007442440	Scotland The Best Paperback	Travel	Europe	stop sign	80.0131082535												
0007447868	A Feast for Crows (A Song of Ice and Fire) Paperback	Literature & Fiction	Genre Fiction	vase	94.3055808544												
0007448473	The Sugar Girls Paperback	Biographies & Memoirs	Historical	car	58.9652597904												
000745256X	Grand Union, Oxford and the South East: Waterways Guide 1 (Collins/Nicholson Waterways Guides) Spiral-bound	Travel	Europe	boat	53.1336426735												
0007452594	Four Counties & the Welsh Canals: Waterways Guide 4 (Collins/Nicholson Waterways Guides) Spiral-bound	Travel	Europe	boat	71.8516349792												
000745337X	The Times Cryptic Crossword Book 16 Paperback	Humor & Entertainment	Humor	crossword_puzzle	100												
0007453477	Times Jumbo Cryptic Crossword 11 Paperback	Humor & Entertainment	Humor	crossword_puzzle	99.4574129581												
0007462271	I Heart London Paperback	Literature & Fiction	Genre Fiction	umbrella	89.404708147	stop sign	79.6619713306										
0007462581	Rachel’s Irish Family Food: 120 classic recipes from my home to yours Hardcover	Cookbooks, Food & Wine	Regional & International	cup	72.3411917686												
0007465173	The Times Ultimate Killer Su Doku Book 4 Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	95.1848566532												
000746519X	The Times Killer Su Doku Book 9 Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.98691082												
0007479557	Your Chinese Horoscope 2014: What the year of the horse holds in store for you Paperback	Religion & Spirituality	New Age & Spirituality	stop sign	65.409052372												
000747959X	Mummy’s Little Helper: The heartrending true story of a young girl secretly caring for her severely disabled mother Paperback	Politics & Social Sciences	Politics & Government	wig	98.4431684017												
0007481438	Collins World Flags Sticker Book (Collins Sticker Books) Paperback	Children's Books	Activities, Crafts & Games	umbrella	84.8201036453												
0007485905	Scotland of Old: Clans Map of Scotland Collins (Collins Pictorial Maps) Map	History	Europe	scissors	76.4424324036												
0007488173	Little Mix: Ready to Fly (100% OFFICIAL) Hardcover	Arts & Photography	Music	wig	83.1703186035												
0007491697	The Times Jumbo Cryptic Crossword Book 12 Paperback	Humor & Entertainment	Humor	crossword_puzzle	99.6049702168												
0007492316	Sacrifice (Detective Mark Heckenburg, Book 2) Paperback	Mystery, Thriller & Suspense	Thrillers & Suspense	mask	54.9700319767												
0007492510	Paramédico Paperback	Biographies & Memoirs	Memoirs	scoreboard	72.3572254181												
0007497121	2014 Collins Ireland Road Map (Collins Road Map) Map	Travel	Europe	book	69.8877632618												
0007497415	The Ultimate Introduction to NLP: How to build a successful life Paperback	Self-Help	Motivational	umbrella	53.2986104488												
0007516924	Times Ultimate Killer Su Doku Book 5 Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	96.6884970665												
0007518137	How to Do Everything and Be Happy: Your step-by-step, straight-talking guide to creating happiness in your life Paperback	Self-Help	Happiness	kite	88.5823249817	chair	53.923201561										
0007528418	The Space Trilogy			oscilloscope	85.0171208382												
0007530919	Will You Love Me?: The story of my adopted daughter Lucy Paperback	Biographies & Memoirs	Specific Groups	jersey	50.457918644												
0007851375	Illustrated Encyclopedia of Healing Remedies Paperback	Health, Fitness & Dieting	Alternative Medicine	bottle	80.4177284241	tray	74.8865485191										
0020130406	Paideia Program 1st Macmillan paperbacks ed Edition	Education & Teaching	Schools & Teaching	stop sign	96.8378424644												
0020303955	Risotto: More than 100 Recipes for the Classic Rice Dish of Northern Italy Paperback	Cookbooks, Food & Wine	Cooking by Ingredient	bowl	68.7276422977	wine glass	58.3791792393										
0020383142	Old New York Paperback	Literature & Fiction	Short Stories & Anthologies	chair	77.0740926266												
0020408919	The Complete Short Stories Of Thomas Wolfe Paperback	Literature & Fiction	Short Stories & Anthologies	stop sign	96.3506579399												
0020418108	Crispus Attucks: Black Leader of Colonial Patriots (Childhood of Famous Americans) Paperback	Children's Books	History	tie	57.4933350086												
0020418205	Clara Barton: Founder of the American Red Cross (Childhood of Famous Americans) Paperback	Children's Books	Literature & Fiction	dog	84.8857343197												
0020419201	Benjamin Franklin: Young Printer (Childhood of Famous Americans) Paperback	Children's Books	History	scoreboard	74.6010482311												
0020419309	Lou Gehrig: One of Baseball's Greatest (Childhood of Famous Americans) Paperback	Children's Books	Biographies	horse	60.6121003628												
0020419902	John Fitzgerald Kennedy: America's Youngest President (Childhood of Famous Americans) Paperback	Children's Books	Literature & Fiction	tie	97.0502912998												
0020420102	Martin Luther King, Jr.: Young Man with a Dream (Childhood of Famous Americans) Paperback	Children's Books	Literature & Fiction	tie	84.2595934868												
0020420307	Abraham Lincoln: The Great Emancipator (Childhood of Famous Americans) Paperback	Children's Books	Literature & Fiction	scoreboard	50.9622991085												
0020421303	Babe Ruth: One of Baseball's Greatest (Childhood of Famous Americans) Paperback	Children's Books	Biographies	cinema	86.2977743149	chair	78.9838910103										
0020421508	George Washington: Our First Leader (Childhood of Famous Americans) Paperback	Children's Books	Literature & Fiction	scoreboard	56.0804724693												
0020430906	Ask Mr. Bear Paperback	Children's Books	Animals	bird	86.1327826977	horse	73.558485508										
002100126X	McGraw Hill Mathematics (Grade 3)	Children's Books	Education & Reference	potted plant	53.0888736248												
0021001278	McGraw Hill Mathematics: Grade 4	Children's Books	Education & Reference	orange	60.3411734104												
002104001X	Macmillan/McGraw-Hill Math, Grade K, Pupil Edition (Consumable) (MMGH MATHEMATICS) 1st Edition	Children's Books	Education & Reference	umbrella	88.1693124771												
0021040028	Macmillan/McGraw-Hill Math, Grade 1, Pupil Edition (Consumable) (MMGH MATHEMATICS) 1st Edition	Children's Books	Education & Reference	cat	90.1064693928												
0021040036	Macmillan/McGraw-Hill Math, Grade 2, Pupil Edition (Consumable) (MMGH MATHEMATICS) 1st Edition	Children's Books	Education & Reference	dog	88.6467218399												
0021057117	California Mathematics Grade 4 (Student Edition: Concepts, Skills, and Problem Solving) Hardcover	Business & Money	Management & Leadership	bicycle	55.168402195												
0021057230	Math Connects, Kindergarten, Consumable Student Edition, Volume 1 1st Edition	Children's Books	Education & Reference	cup	58.8743805885												
0021057273	Math Connects, Grade 2, Consumable Student Edition, Volume 1 1st Edition	Children's Books	Education & Reference	cup	61.8677079678												
0021057281	Math Connects, Grade 2, Consumable Student Edition, Volume 2 1st Edition	Children's Books	Education & Reference	cup	61.8677079678												
0021057370	Math Connects, Grade 1, Vol. 1, Teacher Edition			bird	57.9432010651	stop sign	54.2682111263										
0021057443	Macmillan Mcgraw-hill Math Connects 4 : Teacher Edition [Volume 1]			teddy bear	60.7991576195												
0021072949	Math Connects, Grade K, Homework Practice Workbook (ELEMENTARY MATH CONNECTS) 1st Edition	Children's Books	Education & Reference	scissors	72.1658051014	Band_Aid	60.13										
0021492670	Our Nation (McGraw-Hill Social Studies) Mcgraw-Hill Social Studies Edition	Children's Books	Geography & Cultures	stop sign	86.759018898												
0021503141	Our Communities			clock	53.0404806137												
0021513457	TimeLinks: Second Grade, People and Places-Unit 1 Culture Student Edition (OLDER ELEMENTARY SOCIAL STUDIES) 1st Edition	Children's Books	Geography & Cultures	bicycle	95.5946326256												
0021513481	TimeLinks: Fifth Grade, The United States, Volume 1 Student Edition (OLDER ELEMENTARY SOCIAL STUDIES) 1st Edition	Children's Books	Geography & Cultures	umbrella	52.2638559341												
0021517371	TimeLinks: First Grade, Student Practice Workbook (OLDER ELEMENTARY SOCIAL STUDIES) 1st Edition	Children's Books	Geography & Cultures	sports ball	69.460183382												
0021523967	TimeLinks: First Grade, All Together-Unit 2 Geography Student Edition (OLDER ELEMENTARY SOCIAL STUDIES) 1st Edition	Children's Books	Geography & Cultures	horse	99.6341884136	apple	51.8482983112										
0021524041	TimeLinks: Our Country and Its Regions, 4th Grade, Vol. 2 1st Edition	Children's Books	Geography & Cultures	horse	66.7181491852												
0021856214	McGraw Hill Reading Practice Book Grade 2 Paperback	Children's Books	Education & Reference	digital_clock	80.93												
0021856524	Spelling Practice Book Grade 2 Paperback	Children's Books	Education & Reference	stop sign	73.4631121159												
0021856540	Spelling Practice: Level 4 Paperback	Children's Books	Education & Reference	stop sign	51.457875967												
0021936021	Treasures a Reading/Language Art Program Grammar : Grade 3			dog	77.5232315063	cat	55.430740118										
0021938997	Treasures a Reading/Language Art Program Grammar : Grade 1			cat	63.4734272957	teddy bear	51.8512487411										
0021987645	Florida Treasures 3.1			dog	90.9142434597												
0021988080	Treasures, A Reading/Language Arts Program, Grade 1, Book 5 Student Edition (ELEMENTARY READING TREASURES) 1st Edition	Children's Books	Education & Reference	teddy	76.3975799084	teddy bear	67.1629607677										
0021988110	Treasures: A Reading/Language Arts Program 3.1 1st Edition	Politics & Social Sciences	Social Sciences	teddy	82.8550994396												
0021988137	Treasures: A Reading/Language Arts Program (Grade 4, Student Edition) 1st Edition	Children's Books	Education & Reference	broccoli	51.5122115612												
0022008314	Phonics / Spelling Practice Book, Grade 1 (Treasures)			cat	53.2005250454												
0022017283	Macmillan/McGraw-Hill Treasures Level 1.4 (A Reading/Language Arts Program) Hardcover	Children's Books		sports ball	80.6247889996												
0022017364	Treasures, Grade 5: Reading/Language Arts Program			clock	53.040933609												
0022446532	McGraw-Hill Language Arts Grade 4 (Hardcover) Hardcover	Children's Books	Education & Reference	vase	59.7147643566												
0022777083	McGraw-Hill Science: Practice Workbook, Grade 4 Paperback	Teen & Young Adult	Education & Reference	scissors	64.1567528248												
0022800360	McGraw-Hill Science Grade 3 Macmillian/McGraw-Hill Edition Edition	Children's Books	Science, Nature & How It Works	tray	84.04	apple	71.7949032784	bird	52.9785394669								
0022800387	McGraw-Hill Science (Grade 5)	Children's Books	Science, Nature & How It Works	cat	99.0280985832												
0022801553	McGraw-Hill Science, Grade 3, Reading In Science Workbook (OLDER ELEMENTARY SCIENCE) 1st Edition	Teen & Young Adult	Education & Reference	clock	66.804087162	apple	51.1338412762										
0022812113	McGraw Hill Science: Grade 1			teddy bear	88.8567328453												
0022812121	Macmillan Mcgraw Hill Science 2			cat	94.3612754345												
002281213X	Science Macmillan McGraw-Hill 3 Hardcover			dog	67.6536679268												
0022841350	Science - Grade 2: A Closer Look			bird	54.7260522842												
0022841377	Science: A Closer Look, Grade 4 Hardcover	Teen & Young Adult		broccoli	59.8162531853												
0022849661	Health & Wellness, Blue Book Hardcover	Children's Books	Education & Reference	bottle	96.8946278095												
0023207000	The Way of Lao Tzu	New, Used & Rental Textbooks	Humanities	brass	98.4303891659												
0023219513	Foods: A Scientific Approach (3rd Edition) 3rd Edition	Crafts, Hobbies & Home	Home Improvement & Design	umbrella	62.6283586025												
0023370017	Women and Religion 1st Edition	New, Used & Rental Textbooks	Humanities	cat	65.5038833618												
0023393505	Principles of Food Preparation, Laboratory Manual (2nd Edition) 2nd Edition	Business & Money	Industries	bottle	52.9889822006												
0023412003	Epicurus: Letters Principal Doctrines and Vatican Sayings 1st Edition	History	World	brass	67.711442709												
0023606924	Algorithms	Computers & Technology	Programming	apple	81.0400605202												
0023984155	Optimization in Operations Research 1st Edition	Engineering & Transportation	Engineering	frisbee	64.9427354336												
0024089400	Jewish People, Jewish Thought : The Jewish Experience in History 1st Edition	New, Used & Rental Textbooks	Humanities	stop sign	56.6240131855												
002415654X	Lines and Fields in Electronic Technology 1st Edition	Crafts, Hobbies & Home	Home Improvement & Design	clock	63.482517004												
0025005715	A Second Look in the Rearview Mirror: Further Autobiographical Reflections of a Philosopher at Large Hardcover	Biographies & Memoirs	Professionals & Academics	tie	85.5871260166												
002500574X	The FOUR DIMENSIONS OF PHILOSOPHY Hardcover	Politics & Social Sciences	Philosophy	street_sign	57.3861300945												
0025202529	Trattoria Cooking: More than 200 authentic recipes from Italy's family-style restaurants Paperback	Cookbooks, Food & Wine	Regional & International	cinema	99.9726712704												
0025225804	Cassell's Standard Latin Dictionary 1st Edition	Reference	Dictionaries & Thesauruses	stop sign	98.5718369484												
0025229303	Cassell's Standard German Dictionary Thumb-Indexed Edition Edition	New, Used & Rental Textbooks	Humanities	stop sign	98.3836829662												
0025668609	Great Sausage Recipes and Meat Curing Hardcover	Cookbooks, Food & Wine	Cooking by Ingredient	cup	78.9708673954	bowl	69.7219729424										
0026217457	Vegetarian Times Complete Cookbook Hardcover	Cookbooks, Food & Wine	Vegetarian & Vegan	pizza	68.9650177956												
0026353911	Glencoe Literature The Readers Choice, Course 3, Grade 8: Teacher Wraparound Edition Teachers Guide Edition	Literature & Fiction	History & Criticism	sports ball	99.9172210693												
0026410036	Bienvenidos Writing Activities Workbook and Student Tape Manual 2nd ed. Edition	Teen & Young Adult	Education & Reference	car	92.996263504												
0026412616	¡Buen viaje!: Level 1, Writing Activities Workbook 3rd Edition	Teen & Young Adult	Education & Reference	chair	83.5624396801	umbrella	65.6889259815										
0026412675	Buen viaje! Glencoe Spanish 1 Testing Program			chair	85.6246650219	scoreboard	82.5756967068	umbrella	62.5353872776								
