asin	title	subcat1	subcat2	obj1	pb1	obj2	pb2	obj3	pb3	obj4	pb4	obj5	pb5	obj6	pb6	obj7	pb7
0007133715	Healing Remedies: Illustrated Encyclopedia Paperback	Health, Fitness & Dieting	Alternative Medicine	face_powder	67.0647025108												
0007137508	Wellington: The Iron Duke Paperback	Biographies & Memoirs	Historical	bow_tie	99.0095376968												
0007137540	Sahib: The British Soldier in India 1750–1914 Paperback	History	Military	perfume	90.799498558												
0007145187	Encyclopedia of Essential Oils: The complete guide to the use of aromatic oils in aromatherapy, herbalism, health and well-being Paperback	Health, Fitness & Dieting	Alternative Medicine	orange	67.5333917141	bottle	59.2404544353										
0007146841	How to Mind Map: The Thinking Tool That Will Change Your Life Paperback	Health, Fitness & Dieting	Psychology & Counseling	Band_Aid	70.721668005												
0007149689	Goodbye Mog Hardcover	Children's Books	Growing Up & Facts of Life	nematode	75.6684780121												
0007149824	The Yiddish Policemen's Union Hardcover	Literature & Fiction	Genre Fiction	scoreboard	50.3880143166												
0007149832	The Yiddish Policemen's Union: A Novel (P.S.) Paperback	Literature & Fiction	Genre Fiction	scoreboard	79.4724941254												
0007155166	The Rescue Party (Tales from Percys Park) Paperback	Children's Books	Animals	bird	53.2120049												
0007155387	Side Effects Paperback	Literature & Fiction	Contemporary	scoreboard	99.8681485653												
0007157150	Out of the Silent Planet (Cosmic Trilogy)	Mystery, Thriller & Suspense	Thrillers & Suspense	crash_helmet	75.2164244652												
0007157169	Perelandra (Cosmic Trilogy) Paperback	Literature & Fiction	Action & Adventure	pizza	59.9175274372												
000715741X	The Face Lift Massage Paperback	Health, Fitness & Dieting	Alternative Medicine	lipstick	88.4396791458												
0007159862	Coral Reef Guide Red Sea Paperback	Science & Math	Nature & Ecology	rock_beauty	83.7558925152	coral_reef	75.1695096493										
0007161328	The Lucky Ones Paperback	Literature & Fiction	Contemporary	bonnet	63.9758110046												
0007165854	A Christmas Wish (Lettice) Paperback	Children's Books	Animals	stop sign	66.8090343475												
0007171285	Mog and the V.E.T. (Mog the Cat Books) Paperback	Children's Books	Animals	cat	67.9856657982	tiger_cat	60.58	tabby	54.6676814556								
0007171331	Mog in the Dark Paperback	Children's Books	Growing Up & Facts of Life	zebra	88.8364076614	bird	69.8814511299										
0007182171	The Naqib’s Daughter Hardcover	Literature & Fiction	Genre Fiction	bed	68.2594418526												
0007183267	Jane's Tank Recognition Guide (Jane's Recognition Guides) 4th Edition	History	Military	tank	98.4051942825	boat	62.5220477581										
0007183291	Jane's Special Forces Recognition Guide Paperback	History	Military	lawn_mower	97.7256000042	truck	84.6264004707	half_track	82.8081727028								
0007194226	Turbo-Charge Your Life in 14 Days Paperback	Health, Fitness & Dieting	Diets & Weight Loss	stop sign	72.0336377621												
0007201044	Four Days in June: Waterloo: A Battle for Honour and Glory Paperback	Literature & Fiction	Genre Fiction	bearskin	59.7335338593												
0007201958	Lettice: The Fairy Ball Paperback	Children's Books	Animals	handkerchief	58.6153686047												
0007202156	Collins Gem 10-Minute Watercolours: Techniques & Tips for Quick Watercolours Paperback	Arts & Photography	Painting	rubber_eraser	93.6001360416												
0007203624	Britain in the Middle Ages: An Archaeological History Paperback	History	Europe	bird	77.6755690575												
0007209657	Some Sunny Day Paperback	Literature & Fiction	Genre Fiction	poncho	67.88												
000720969X	As Time Goes Paperback	Literature & Fiction	Genre Fiction	military_uniform	95.689612627	tie	50.6290912628										
0007213859	Watercolour Textures (Collins Artist’s Studio) Hardcover	Arts & Photography	Painting	sea_anemone	77.09												
0007217811	Stormed Fortress (Alliance of Light, Vol. 5) (Bk. 5) Mass Market Paperback	Literature & Fiction	Genre Fiction	umbrella	52.4369359016												
0007222017	Street Kid: One Child's Desperate Fight for Survival Paperback	Parenting & Relationships	Family Relationships	velvet	84.4915986061	stole	52.75										
0007223633	The Times Killer Su Doku Book Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	77.6500344276	spotlight	57.8018009663										
0007225172	Juice Master Keeping It Simple Paperback	Cookbooks, Food & Wine	Beverages & Wine	street_sign	61.8276000023												
0007225709	Soldiers: Army Lives and Loyalties from Redcoats to Dusty Warriors Paperback	History	Military	stop sign	85.1854383945												
0007228953	Mog the Forgetful Cat Board book	Children's Books	Literature & Fiction	weasel	83.2577526569	vase	69.1509664059										
0007230591	Born to Run (Collector's Edition) Paperback	Children's Books	Animals	dog	99.4987010956	horse	95.8429276943										
0007236069	Watercolour for the Absolute Beginner Paperback	Arts & Photography	Painting	paintbrush	99.9326467514	plate	78.6409199238	dining table	54.3607771397	bowl	50.3666341305						
0007237596	A Greedy Man in a Hungry World Paperback	Cookbooks, Food & Wine	Cooking Methods	wine glass	89.1479790211	bottle	79.7886013985	quill	75.57	dining table	53.3887565136						
0007244002	When Daddy Comes Home Paperback	Parenting & Relationships	Family Relationships	lipstick	66.5219902992												
0007245815	Memories, Dreams and Reflections Paperback	Arts & Photography	Music	hair_spray	85.3195488453												
0007247362	Disaster Survival (Collins Gem) Paperback	Politics & Social Sciences	Politics & Government	spotlight	93.4380590916	vacuum	59.2614471912										
0007247729	Henry: Virtuous Prince Paperback	Biographies & Memoirs	Historical	racket	99.9111115932	oscilloscope	72.85										
0007248008	The Times Killer Su Doku Book 3 (Bk. 3) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.9983906746												
0007248946	Learn to Paint: Light and Shade in Watercolour (Collins Learn to Paint Series) Paperback	Arts & Photography	Painting	boat	56.1969339848												
0007251947	Paddington's Suitcase Paperback	Children's Books		teddy bear	69.6482181549												
0007253567	Rules of War Paperback	Literature & Fiction	Genre Fiction	rugby_ball	57.1486413479												
000725881X	Silent Boy: He Was a Frightened Boy Who Refused to Speak- Until a Teacher's Love Broke Through the Silence Paperback	Biographies & Memoirs	Specific Groups	hair_spray	96.4694917202												
000725931X	Rachel's Favourite Food for Living Hardcover	Cookbooks, Food & Wine	Entertaining & Holidays	cup	77.024012804												
0007259387	Sketching (Collins 30 Minute) Hardcover	Arts & Photography	Drawing	boat	84.2294096947												
000725976X	Holy Bible: King James Version (KJV) Leather Bound	Christian Books & Bibles	Bible Study & Reference	binder	58.26												
0007260938	Overheard in a Dream			shower_cap	53.8442850113												
0007260946	The Sunflower Forest			bearskin	50.6416678429												
0007264488	The Times Cryptic Crossword Book 13 (Times Crossword) (Bk. 13) Paperback	Humor & Entertainment	Humor	carton	77.526730299	street_sign	52.03										
0007265905	The Heart of the Family Paperback	Literature & Fiction	Genre Fiction	fountain	62.1264636517												
0007266642	Nowhere to Run Paperback	Parenting & Relationships	Family Relationships	jersey	93.8561975956												
0007267142	Juice Yourself Slim Paperback	Cookbooks, Food & Wine	Beverages & Wine	bowl	91.8163180351												
0007267444	I Miss Mummy: The true story of a frightened young girl who is desperate to go home Paperback	Parenting & Relationships	Family Relationships	diaper	66.8121218681												
0007268777	Daddy’s Little Earner: A heartbreaking true story of a brave little girl's escape from violence Paperback	Parenting & Relationships	Family Relationships	wig	74.6014356613												
0007270682	Collins Scottish Birds Paperback	Science & Math	Biological Sciences	bird	99.994790554												
0007270909	Paddington Pocket Library Hardcover	Children's Books		teddy bear	98.8016486168	carton	60.22										
0007272588	The Times Killer Su Doku Book 4 (Bk. 4) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.9979615211												
0007274068	Cry Silent Tears: The heartbreaking survival story of a small mute boy who overcame unbearable suffering and found his voice again Paperback	Parenting & Relationships	Family Relationships	diaper	68.0510282516												
0007277849	How to Master The Times Crossword: The Times Cryptic Crossword Demystified Hardcover	Humor & Entertainment	Puzzles & Games	crossword_puzzle	100												
000728019X	This Mitchell and Webb Book Hardcover	Humor & Entertainment	Humor	book	60.2354168892												
0007281080	The Sun Two-Speed Crossword Collection Paperback	Humor & Entertainment	Puzzles & Games	stop sign	99.553912878												
0007285248	Ship of Rome (Masters of the Sea) Paperback	Literature & Fiction	Genre Fiction	dog	53.7826836109	pickelhaube	51.5196800232										
0007286120	Delphie and the Birthday Show (Magic Ballerina, Book 6) Paperback	Children's Books	Arts, Music & Photography	umbrella	68.7709391117												
0007287984	The White Raven (The Oathsworn Series, Book 3) Paperback	Literature & Fiction	Genre Fiction	horse	52.733540535												
0007289499	Collins Whisky Map of Scotland (Collins Pictorial Maps) Map	Travel	Europe	lipstick	62.0172858238												
0007296541	Mog’s ABC Paperback	Children's Books	Early Learning	apple	72.4133491516												
0007298560	Crowbone (Oathsworn) Paperback	Literature & Fiction	Action & Adventure	chain_mail	58.8113963604												
0007299281	Run, Mummy, Run Paperback	Literature & Fiction	Genre Fiction	pajama	79.3655753136												
000729932X	Nightstorm and the Grand Slam (Pony Club Secrets, Book 12) Paperback	Children's Books	Growing Up & Facts of Life	sorrel	99.956125021	horse	74.3962824345										
000730031X	Rosa and the Magic Moonstone (Magic Ballerina, Book 9) Paperback	Children's Books	Arts, Music & Photography	umbrella	63.1252348423												
000730045X	The Autobiography of a Flea (Harper Perennial Forbidden Classics) Paperback	Literature & Fiction	Genre Fiction	banana	97.2949028015												
0007301987	Richard Bandler's Guide to Trance-Formation: Make Your Life Great. Paperback	Health, Fitness & Dieting	Alternative Medicine	tie	84.7672462463												
0007302746	Dust and Steel			mousetrap	98.6211657524												
0007304749	Running Blind / The Freedom Trap Paperback	Literature & Fiction	Action & Adventure	truck	58.686798811												
0007304781	Wyatt’s Hurricane / Bahama Crisis Paperback	Literature & Fiction	Action & Adventure	airplane	78.7926495075												
0007305850	The Times Killer Su Doku 5 (Bk. 5) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.999332428												
0007307381	The Times Difficult Su Doku Book 2 (Bk. 2) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	93.4843540192	clock	66.2157356739										
0007309031	Entertaining at Home Hardcover	Cookbooks, Food & Wine	Entertaining & Holidays	groom	95.8632528782	wine glass	55.9359133244										
000730904X	Easy Meals: Over 180 Delicious Recipes to get you Through your Busy Life Hardcover	Cookbooks, Food & Wine	Quick & Easy	quill	66.3010537624	vase	52.6421368122										
0007309058	Cake Hardcover	Cookbooks, Food & Wine	Baking	cake	69.8598086834												
0007313969	The Times Codeword Paperback	Humor & Entertainment	Puzzles & Games	Band_Aid	53.6027669907												
0007313993	The Times Jumbo Cryptic Crossword Book 9 Paperback	Humor & Entertainment	Puzzles & Games	crossword_puzzle	100												
0007315120	Virolution First Printing Edition	Science & Math	Biological Sciences	zebra	99.9994635582												
0007319290	The Times Cryptic Crossword Book 14 Paperback	Humor & Entertainment	Humor	crossword_puzzle	100												
000731969X	The Times Killer Su Doku 6 (Killer Su Doku, Book 6) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.9993681908												
0007325169	Mummy Knew: A terrifying step-father. A mother who refused to listen. A little girl desperate to escape. Paperback	Parenting & Relationships	Family Relationships	wig	90.4606640339												
0007326637	The Times Ultimate Killer Su Doku (Times Su Doku) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	98.4651088715												
0007333463	The Prize (Pony Club Rivals, Book 4) Paperback	Children's Books	Animals	horse	93.9376831055												
000733933X	Forever in My Heart: The Story of My Battle Against Cancer Paperback	Biographies & Memoirs	Arts & Literature	groom	99.2550253868	bow_tie	60.09										
000734421X	Shatter the Bones Hardcover	Mystery, Thriller & Suspense	Thrillers & Suspense	chair	92.3967719078												
0007345623	I Heart Vegas Paperback	Literature & Fiction	Women's Fiction	stop sign	94.4738388062	bottle	54.1230559349	umbrella	54.9499571323	theater_curtain	50.22						
0007351445	Captain of Rome (Masters of the Sea) Paperback	Literature & Fiction	Genre Fiction	stop sign	86.6914510727												
0007351747	David Mitchell: Back Story Paperback	Biographies & Memoirs	Arts & Literature	bird	50.6865441799												
0007356374	Londongrad: From Russia with Cash;The Inside Story of the Oligarchs Paperback	Biographies & Memoirs	Historical	Windsor_tie	83.4592223167	tie	74.2666304111										
0007361556	A Christmas Promise Paperback	Literature & Fiction	Genre Fiction	bow_tie	99.6609687805												
0007362544	Dark Blood (Logan McRae, Book 6) Paperback	Mystery, Thriller & Suspense	Mystery	cinema	68.3641195297												
000736296X	Mummy Told Me Not to Tell: The true story of a troubled boy with a dark secret Paperback	Parenting & Relationships	Family Relationships	wig	68.5746490955												
0007364520	The Times Ultimate Killer Su Doku Book 2 Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.6732950211												
0007364539	The Times Fiendish Su Doku Book 4 Paperback	Humor & Entertainment	Puzzles & Games	stop sign	52.053630352												
0007364547	The Times Killer Su Doku Book 7 Paperback	Travel	Europe	oscilloscope	99.998497963												
0007368518	The Times Cryptic Crossword Book 15 Paperback	Humor & Entertainment	Humor	crossword_puzzle	100												
0007368534	The Times Jumbo Cryptic Crossword Book 10 Paperback	Humor & Entertainment	Puzzles & Games	crossword_puzzle	99.9094367027												
000737139X	Usain Bolt: My Story: 9.58: Being the World's Fastest Man Hardcover	Biographies & Memoirs	Leaders & Notable People	shower_cap	65.283036232												
0007371861	Crooked Hardcover	Arts & Photography	Music	bakery	97.3358392715												
0007383029	Kitchen Hero Hardcover	Cookbooks, Food & Wine	Regional & International	potter's_wheel	88.9103412628	bottle	71.9532012939	bowl	57.246530056								
0007394764	Great British Railway Journeys Hardcover	Engineering & Transportation	Transportation	boat	52.5611162186												
0007395442	Short Walks in Dorset: Guide to 20 Easy Walks of 3 Hours or Less (Collins Ramblers Short Walks) Paperback	Travel	Europe	seashore	87.0487332344												
0007395906	The Peregrine Paperback	Science & Math	Nature & Ecology	bird	95.4454183578												
0007436653	Guinea Pig (Collins Family Pet Guide) Paperback	Crafts, Hobbies & Home	Pets & Animal Care	hamster	96.8035340309	guinea_pig	88.9049768448	dog	85.7683897018								
0007438494	Brutal Paperback	Parenting & Relationships	Family Relationships	lipstick	95.8774328232												
0007440650	The Times Ultimate Killer Su Doku Book 3 Paperback	Humor & Entertainment	Puzzles & Games	tennis_ball	98.4523773193	oscilloscope	96.2397396564										
0007440677	The Times Killer Su Doku Book 8 Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.770373106												
0007442440	Scotland The Best Paperback	Travel	Europe	stop sign	80.0131082535												
0007442637	A Baby’s Cry Paperback	Politics & Social Sciences	Politics & Government	nipple	54.413408041												
0007446306	The Midwife's Here! Paperback	Health, Fitness & Dieting	Women's Health	bathing_cap	91.2575960159												
0007447868	A Feast for Crows (A Song of Ice and Fire) Paperback	Literature & Fiction	Genre Fiction	vase	94.3055808544												
0007448473	The Sugar Girls Paperback	Biographies & Memoirs	Historical	car	58.9652597904												
000745256X	Grand Union, Oxford and the South East: Waterways Guide 1 (Collins/Nicholson Waterways Guides) Spiral-bound	Travel	Europe	boat	53.1336426735												
0007452594	Four Counties & the Welsh Canals: Waterways Guide 4 (Collins/Nicholson Waterways Guides) Spiral-bound	Travel	Europe	racer	94.5262789726	boat	71.8516349792										
000745337X	The Times Cryptic Crossword Book 16 Paperback	Humor & Entertainment	Humor	crossword_puzzle	100												
0007453477	Times Jumbo Cryptic Crossword 11 Paperback	Humor & Entertainment	Humor	crossword_puzzle	99.4574129581												
0007455208	Collins Ireland Comprehensive Road Atlas (Collins Travel Guides) Spiral-bound	Travel	Europe	analog_clock	60.8569324017												
0007455755	Last Hours on Everest Hardcover	Sports & Outdoors	Miscellaneous	nail	93.4229552746												
0007462271	I Heart London Paperback	Literature & Fiction	Genre Fiction	umbrella	89.404708147	stop sign	79.6619713306										
0007462581	Rachel’s Irish Family Food: 120 classic recipes from my home to yours Hardcover	Cookbooks, Food & Wine	Regional & International	cup	72.3411917686												
0007465173	The Times Ultimate Killer Su Doku Book 4 Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	95.1848566532												
000746519X	The Times Killer Su Doku Book 9 Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.98691082	tennis_ball	74.7644245625										
0007479557	Your Chinese Horoscope 2014: What the year of the horse holds in store for you Paperback	Religion & Spirituality	New Age & Spirituality	stop sign	65.409052372												
000747959X	Mummy’s Little Helper: The heartrending true story of a young girl secretly caring for her severely disabled mother Paperback	Politics & Social Sciences	Politics & Government	wig	98.4431684017												
0007481438	Collins World Flags Sticker Book (Collins Sticker Books) Paperback	Children's Books	Activities, Crafts & Games	umbrella	84.8201036453												
0007485883	Tartans Map of Scotland (Collins Pictorial Maps) Map	History	Europe	container_ship	77.4378299713												
0007485905	Scotland of Old: Clans Map of Scotland Collins (Collins Pictorial Maps) Map	History	Europe	scissors	76.4424324036												
0007486774	Another Forgotten Child Paperback	Biographies & Memoirs	Memoirs	shower_cap	76.3796329498												
0007488173	Little Mix: Ready to Fly (100% OFFICIAL) Hardcover	Arts & Photography	Music	bubble	96.7795133591	wig	83.1703186035										
0007488440	Bath Times and Nursery Rhymes: The Memoirs of a Nursery Nurse in the 1960s Paperback	Biographies & Memoirs	Specific Groups	lotion	57.8231811523												
0007489617	Facing the Other Way: The Story of 4AD Hardcover	Arts & Photography	Music	toyshop	76.5628159046												
0007490518	Collins Scotland Touring Map Map	History	Europe	lakeside	99.3259847164												
0007491697	The Times Jumbo Cryptic Crossword Book 12 Paperback	Humor & Entertainment	Humor	crossword_puzzle	99.6049702168												
0007492316	Sacrifice (Detective Mark Heckenburg, Book 2) Paperback	Mystery, Thriller & Suspense	Thrillers & Suspense	mask	54.9700319767												
0007492510	Paramédico Paperback	Biographies & Memoirs	Memoirs	scoreboard	72.3572254181												
0007497121	2014 Collins Ireland Road Map (Collins Road Map) Map	Travel	Europe	book	69.8877632618												
0007497415	The Ultimate Introduction to NLP: How to build a successful life Paperback	Self-Help	Motivational	umbrella	53.2986104488												
0007497989	About a Girl (Tess Brookes) Mass Market Paperback	Literature & Fiction	Contemporary	violin	93.6278283596												
0007506619	21 Days to Glory: The Official Team Sky Book of the 2012 Tour de France Hardcover	Sports & Outdoors	Individual Sports	crash_helmet	74.3641674519												
0007508530	Collins Castles Map of Scotland (Collins Pictorial Maps) Map	History	Europe	castle	99.9951601028												
0007516924	Times Ultimate Killer Su Doku Book 5 Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	96.6884970665	tennis_ball	77.1337270737										
0007518137	How to Do Everything and Be Happy: Your step-by-step, straight-talking guide to creating happiness in your life Paperback	Self-Help	Happiness	kite	88.5823249817	chair	53.923201561										
000752417X	The Silver Chain (Unbreakable Trilogy, Book 1) Paperback	Literature & Fiction	Erotica	chain	99.2106437683	knot	55.57										
0007528418	The Space Trilogy			oscilloscope	85.0171208382	traffic_light	68.6831116676										
0007530919	Will You Love Me?: The story of my adopted daughter Lucy Paperback	Biographies & Memoirs	Specific Groups	jersey	50.457918644												
0007541295	Collins Ireland: Handy Road Atlas 2015*** (International Road Atlases) Paperback	Travel	Europe	hatchet	61.2298965454												
0007541317	Scotland Pocket Map Collins Map	Travel	Europe	steel_arch_bridge	86.465471983												
0007744684	Collins COBUILD Student's Dictionary plus grammar Hardcover	Reference	English as a Second Language	monitor	58.8632881641	screen	53.21										
000783943X	The Delux Collection - Paulo Coelho: Box Set Paperback	Literature & Fiction		bookcase	96.9538629055	cassette	92.9										
0007851375	Illustrated Encyclopedia of Healing Remedies Paperback	Health, Fitness & Dieting	Alternative Medicine	bottle	80.4177284241	tray	74.8865485191										
0007929080	7 Lbs in 7 Days: The Juice Master Diet Paperback	Health, Fitness & Dieting	Diets & Weight Loss	sunscreen	99.6991872787												
0011888210	Parkinson's Disease: Looking Down the Barrel Paperback	Health, Fitness & Dieting	Diseases & Physical Ailments	pickelhaube	83.4387898445												
0020130406	Paideia Program 1st Macmillan paperbacks ed Edition	Education & Teaching	Schools & Teaching	stop sign	96.8378424644												
0020199856	The Love of the Last Tycoon Paperback	Literature & Fiction	Genre Fiction	harp	69.1709816456												
0020209851	Not Without Laughter Paperback	Politics & Social Sciences	Social Sciences	sombrero	99.9552190304												
0020303955	Risotto: More than 100 Recipes for the Classic Rice Dish of Northern Italy Paperback	Cookbooks, Food & Wine	Cooking by Ingredient	bowl	68.7276422977	wine glass	58.3791792393										
0020383142	Old New York Paperback	Literature & Fiction	Short Stories & Anthologies	chair	77.0740926266												
0020408919	The Complete Short Stories Of Thomas Wolfe Paperback	Literature & Fiction	Short Stories & Anthologies	stop sign	96.3506579399												
0020418108	Crispus Attucks: Black Leader of Colonial Patriots (Childhood of Famous Americans) Paperback	Children's Books	History	tie	57.4933350086												
0020418205	Clara Barton: Founder of the American Red Cross (Childhood of Famous Americans) Paperback	Children's Books	Literature & Fiction	dog	84.8857343197												
0020419201	Benjamin Franklin: Young Printer (Childhood of Famous Americans) Paperback	Children's Books	History	scoreboard	74.6010482311												
0020419309	Lou Gehrig: One of Baseball's Greatest (Childhood of Famous Americans) Paperback	Children's Books	Biographies	horse	60.6121003628												
0020419902	John Fitzgerald Kennedy: America's Youngest President (Childhood of Famous Americans) Paperback	Children's Books	Literature & Fiction	tie	97.0502912998												
0020420102	Martin Luther King, Jr.: Young Man with a Dream (Childhood of Famous Americans) Paperback	Children's Books	Literature & Fiction	tie	84.2595934868												
0020420307	Abraham Lincoln: The Great Emancipator (Childhood of Famous Americans) Paperback	Children's Books	Literature & Fiction	scoreboard	50.9622991085												
