asin	title	subcat1	subcat2	obj1	pb1	obj2	pb2	obj3	pb3	obj4	pb4	obj5	pb5	obj6	pb6	obj7	pb7	obj8	pb8
0007104065	Stop Smoking in One Hour: Play the CD… just once… and never smoke again! (Listen Just Once to the CD and Youll Never Smoke Again!) Paperback	Health, Fitness & Dieting	Diseases & Physical Ailments	stop sign	94.4351136684														
0007104405	Paddington at the Palace Paperback	Children's Books	Classics	teddy bear	88.3689582348														
0007107188	Toro! Toro! Paperback	Children's Books	Literature & Fiction	stop sign	82.0605933666	cow	68.8732564449	airplane	65.0699794292										
0007112998	The Dance Paperback	Self-Help	Personal Transformation	jersey	93.3689594269														
0007113978	Head Strong: 10 Ways to Make the Most of Your Body and Mind Paperback	Self-Help	Personal Transformation	person	96.6063201427														
0007115008	The Art of Indian Face Massage: How to Give Yourself a Natural Facelift Hardcover	Health, Fitness & Dieting	Alternative Medicine	person	97.1075892448														
0007118481	TO END ALL WARS Paperback	Biographies & Memoirs	Leaders & Notable People	person	81.08548522														
0007119801	Percy's Friends the Squirrels Paperback	Teen & Young Adult		person	85.3658795357														
0007129653	Wilkins' Tooth Paperback	Teen & Young Adult	Science Fiction & Fantasy	person	72.1660494804														
0007133103	Endometriosis: A Key to Healing Through Nutrition Paperback	Health, Fitness & Dieting	Diseases & Physical Ailments	hair_slide	94.383007288														
000713326X	Taking Risks with Watercolour Hardcover	Arts & Photography	Painting	bottle	57.410377264														
0007133715	Healing Remedies: Illustrated Encyclopedia Paperback	Health, Fitness & Dieting	Alternative Medicine	face_powder	67.0647025108														
0007137508	Wellington: The Iron Duke Paperback	Biographies & Memoirs	Historical	person	99.8322427273	bow_tie	99.0095376968												
0007137516	Tommy: The British Soldier on the Western Front 1914-1918 1st Edition	Biographies & Memoirs	Historical	person	95.6550240517														
0007137540	Sahib: The British Soldier in India 1750–1914 Paperback	History	Military	person	91.7430341244	perfume	90.799498558												
0007138873	A Simple Path: Basic Buddhist Teachings by His Holiness the Dalai Lama Paperback	Computers & Technology	Programming	person	84.3151450157														
0007139810	Walking Back to Happiness Paperback	Literature & Fiction	Genre Fiction	person	88.882380724														
0007145160	Light on the Yoga Sutras of Patanjali Paperback	Health, Fitness & Dieting	Exercise & Fitness	person	87.6210570335														
0007145187	Encyclopedia of Essential Oils: The complete guide to the use of aromatic oils in aromatherapy, herbalism, health and well-being Paperback	Health, Fitness & Dieting	Alternative Medicine	orange	67.5333917141	bottle	59.2404544353												
0007146841	How to Mind Map: The Thinking Tool That Will Change Your Life Paperback	Health, Fitness & Dieting	Psychology & Counseling	Band_Aid	70.721668005														
0007149689	Goodbye Mog Hardcover	Children's Books	Growing Up & Facts of Life	nematode	75.6684780121														
0007149824	The Yiddish Policemen's Union Hardcover	Literature & Fiction	Genre Fiction	scoreboard	50.3880143166														
0007149832	The Yiddish Policemen's Union: A Novel (P.S.) Paperback	Literature & Fiction	Genre Fiction	scoreboard	79.4724941254														
0007155166	The Rescue Party (Tales from Percys Park) Paperback	Children's Books	Animals	person	80.0928354263	bird	53.2120049												
0007155182	The Secret Path (Tales From Percy’s Park) Paperback	Children's Books	Animals	person	61.2786769867														
0007155387	Side Effects Paperback	Literature & Fiction	Contemporary	scoreboard	99.8681485653														
000715612X	Man About Town: A Novel Paperback	Literature & Fiction	Contemporary	person	95.1684176922														
0007156618	Evening in the Palace of Reason: Bach Meets Frederick the Great in the Age of Enlightenment Paperback	Arts & Photography	Music	person	65.9878373146														
0007156634	The Speckled People: A Memoir of a Half-Irish Childhood Paperback	Biographies & Memoirs	Ethnic & National	person	90.9826636314														
0007156790	THE JUICE MASTER'S ULTIMATE FAST FOOD: DICOVER THE POWER OF RAW JUICE			person	91.8166220188														
0007157150	Out of the Silent Planet (Cosmic Trilogy)	Mystery, Thriller & Suspense	Thrillers & Suspense	crash_helmet	75.2164244652														
0007157169	Perelandra (Cosmic Trilogy) Paperback	Literature & Fiction	Action & Adventure	pizza	59.9175274372														
000715741X	The Face Lift Massage Paperback	Health, Fitness & Dieting	Alternative Medicine	person	99.8872697353	lipstick	88.4396791458												
0007159862	Coral Reef Guide Red Sea Paperback	Science & Math	Nature & Ecology	rock_beauty	83.7558925152	coral_reef	75.1695096493												
0007161328	The Lucky Ones Paperback	Literature & Fiction	Contemporary	person	97.0735192299	bonnet	63.9758110046												
0007161778	The Secret History of the South Sea Bubble: The World's First Great Financial Scandal Hardcover	History	Europe	person	56.65807724														
0007161786	The King, the Crook, and the Gambler: The True Story of the South Sea Bubble and the Greatest Financial Scandal in History Paperback	Biographies & Memoirs	Historical	person	57.31138587														
0007163630	Judge Sewall's Apology: The Salem Witch Trials and the Forming of an American Conscience Paperback	Biographies & Memoirs	Historical	person	70.4342067242														
0007165854	A Christmas Wish (Lettice) Paperback	Children's Books	Animals	stop sign	66.8090343475														
0007171285	Mog and the V.E.T. (Mog the Cat Books) Paperback	Children's Books	Animals	person	80.8470487595	cat	67.9856657982	tiger_cat	60.58	tabby	54.6676814556								
0007171331	Mog in the Dark Paperback	Children's Books	Growing Up & Facts of Life	zebra	88.8364076614	bird	69.8814511299	person	62.7154350281										
0007176171	Irish Baby Names (Collins Gem) Paperback	Parenting & Relationships		person	60.3485226631														
0007182171	The Naqib’s Daughter Hardcover	Literature & Fiction	Genre Fiction	person	70.5428898335	bed	68.2594418526												
0007183267	Jane's Tank Recognition Guide (Jane's Recognition Guides) 4th Edition	History	Military	tank	98.4051942825	boat	62.5220477581												
0007183291	Jane's Special Forces Recognition Guide Paperback	History	Military	lawn_mower	97.7256000042	truck	84.6264004707	half_track	82.8081727028										
0007194226	Turbo-Charge Your Life in 14 Days Paperback	Health, Fitness & Dieting	Diets & Weight Loss	stop sign	72.0336377621														
0007196091	The Little Prisoner: How a Childhood Was Stolen and a Trust Betrayed Hardcover	Parenting & Relationships	Family Relationships	person	96.6864347458														
0007201044	Four Days in June: Waterloo: A Battle for Honour and Glory Paperback	Literature & Fiction	Genre Fiction	bearskin	59.7335338593														
0007201958	Lettice: The Fairy Ball Paperback	Children's Books	Animals	handkerchief	58.6153686047														
0007202156	Collins Gem 10-Minute Watercolours: Techniques & Tips for Quick Watercolours Paperback	Arts & Photography	Painting	rubber_eraser	93.6001360416														
0007203624	Britain in the Middle Ages: An Archaeological History Paperback	History	Europe	bird	77.6755690575														
0007209657	Some Sunny Day Paperback	Literature & Fiction	Genre Fiction	person	92.5209164619	poncho	67.88												
000720969X	As Time Goes Paperback	Literature & Fiction	Genre Fiction	military_uniform	95.689612627	person	88.4514272213	tie	50.6290912628										
0007211376	Percy the Park Keeper: A Classic Treasury Hardcover	Children's Books	Animals	person	89.6865010262														
0007213859	Watercolour Textures (Collins Artist’s Studio) Hardcover	Arts & Photography	Painting	sea_anemone	77.09														
0007215991	The Tiger Who Came to Tea Perfect Paperback	Children's Books	Animals	person	58.5294008255														
0007217811	Stormed Fortress (Alliance of Light, Vol. 5) (Bk. 5) Mass Market Paperback	Literature & Fiction	Genre Fiction	umbrella	52.4369359016														
0007218664	Somebody Else's Kids Hardcover	Biographies & Memoirs	Specific Groups	person	58.4000468254														
0007222017	Street Kid: One Child's Desperate Fight for Survival Paperback	Parenting & Relationships	Family Relationships	person	99.6293127537	velvet	84.4915986061	stole	52.75										
0007223633	The Times Killer Su Doku Book Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	77.6500344276	spotlight	57.8018009663												
0007225172	Juice Master Keeping It Simple Paperback	Cookbooks, Food & Wine	Beverages & Wine	person	90.6088769436	street_sign	61.8276000023												
0007225709	Soldiers: Army Lives and Loyalties from Redcoats to Dusty Warriors Paperback	History	Military	person	93.5905992985	stop sign	85.1854383945												
0007225717	Marlborough: England's Fragile Genius Hardcover	Biographies & Memoirs	Historical	person	83.6333572865														
000722608X	The Child Left Behind			person	99.0217626095														
0007228953	Mog the Forgetful Cat Board book	Children's Books	Literature & Fiction	weasel	83.2577526569	vase	69.1509664059												
0007230591	Born to Run (Collector's Edition) Paperback	Children's Books	Animals	dog	99.4987010956	horse	95.8429276943												
0007236069	Watercolour for the Absolute Beginner Paperback	Arts & Photography	Painting	paintbrush	99.9326467514	plate	78.6409199238	dining table	54.3607771397	bowl	50.3666341305								
0007236360	Damaged: The Heartbreaking True Story of a Forgotten Child Paperback	Parenting & Relationships	Family Relationships	person	87.3170912266														
0007237596	A Greedy Man in a Hungry World Paperback	Cookbooks, Food & Wine	Cooking Methods	wine glass	89.1479790211	person	89.1630530357	bottle	79.7886013985	quill	75.57	dining table	53.3887565136						
0007244002	When Daddy Comes Home Paperback	Parenting & Relationships	Family Relationships	person	98.8475680351	lipstick	66.5219902992												
0007245742	Abandoned: The true story of a little girl who didn’t belong Paperback	Parenting & Relationships	Family Relationships	person	99.4628727436														
0007245815	Memories, Dreams and Reflections Paperback	Arts & Photography	Music	person	96.2432265282	hair_spray	85.3195488453												
0007247362	Disaster Survival (Collins Gem) Paperback	Politics & Social Sciences	Politics & Government	spotlight	93.4380590916	vacuum	59.2614471912												
0007247729	Henry: Virtuous Prince Paperback	Biographies & Memoirs	Historical	racket	99.9111115932	oscilloscope	72.85	person	62.0665371418										
0007248008	The Times Killer Su Doku Book 3 (Bk. 3) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.9983906746														
0007248075	Not Without My Sister: The True Story of Three Girls Violated and Betrayed by Those They Trusted Paperback	Parenting & Relationships	Family Relationships	person	85.5748832226														
0007248946	Learn to Paint: Light and Shade in Watercolour (Collins Learn to Paint Series) Paperback	Arts & Photography	Painting	person	79.8052787781	boat	56.1969339848												
0007251947	Paddington's Suitcase Paperback	Children's Books		teddy bear	69.6482181549														
0007253567	Rules of War Paperback	Literature & Fiction	Genre Fiction	person	71.9250559807	rugby_ball	57.1486413479												
0007256817	Punished: A mother’s cruelty. A daughter’s survival. A secret that couldn’t be told. Paperback	Parenting & Relationships	Family Relationships	person	98.1814026833														
0007258801	Somebody Else's Kids Paperback	Arts & Photography	Architecture	person	56.6739320755														
000725881X	Silent Boy: He Was a Frightened Boy Who Refused to Speak- Until a Teacher's Love Broke Through the Silence Paperback	Biographies & Memoirs	Specific Groups	hair_spray	96.4694917202														
000725931X	Rachel's Favourite Food for Living Hardcover	Cookbooks, Food & Wine	Entertaining & Holidays	person	99.2647409439	cup	77.024012804												
0007259387	Sketching (Collins 30 Minute) Hardcover	Arts & Photography	Drawing	boat	84.2294096947														
000725976X	Holy Bible: King James Version (KJV) Leather Bound	Christian Books & Bibles	Bible Study & Reference	binder	58.26														
0007260938	Overheard in a Dream			shower_cap	53.8442850113														
0007260946	The Sunflower Forest			person	90.067243576	bearskin	50.6416678429												
0007260989	Hidden: Betrayed, Exploited and Forgotten. How One Boy Overcame the Odds. Paperback	Parenting & Relationships	Family Relationships	person	96.931552887														
0007262833	Seeing Red Paperback	Sports & Outdoors	Biographies	person	93.7767207623														
0007264488	The Times Cryptic Crossword Book 13 (Times Crossword) (Bk. 13) Paperback	Humor & Entertainment	Humor	carton	77.526730299	street_sign	52.03												
0007265905	The Heart of the Family Paperback	Literature & Fiction	Genre Fiction	person	72.0762789249	fountain	62.1264636517												
0007266642	Nowhere to Run Paperback	Parenting & Relationships	Family Relationships	person	99.888163805	jersey	93.8561975956												
0007266766	Branson Paperback	Biographies & Memoirs	Leaders & Notable People	person	86.4672482014														
0007267142	Juice Yourself Slim Paperback	Cookbooks, Food & Wine	Beverages & Wine	bowl	91.8163180351														
0007267444	I Miss Mummy: The true story of a frightened young girl who is desperate to go home Paperback	Parenting & Relationships	Family Relationships	person	95.8141326904	diaper	66.8121218681												
0007268777	Daddy’s Little Earner: A heartbreaking true story of a brave little girl's escape from violence Paperback	Parenting & Relationships	Family Relationships	person	99.5679199696	wig	74.6014356613												
0007270682	Collins Scottish Birds Paperback	Science & Math	Biological Sciences	bird	99.994790554														
0007270909	Paddington Pocket Library Hardcover	Children's Books		teddy bear	98.8016486168	carton	60.22												
0007272588	The Times Killer Su Doku Book 4 (Bk. 4) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.9979615211														
0007273282	Collins Guide to Scots Kith and Kin: A Guide to the Clans and Surnames of Scotland Paperback	History	Europe	person	77.7387619019														
0007274068	Cry Silent Tears: The heartbreaking survival story of a small mute boy who overcame unbearable suffering and found his voice again Paperback	Parenting & Relationships	Family Relationships	person	93.7828838825	diaper	68.0510282516												
000727579X	Rachel's Favourite Food at Home Paperback	Cookbooks, Food & Wine	Regional & International	person	98.8851368427														
0007277849	How to Master The Times Crossword: The Times Cryptic Crossword Demystified Hardcover	Humor & Entertainment	Puzzles & Games	crossword_puzzle	100	person	99.6243238449												
0007278675	Alamein: The Turning Point of World War Two Hardcover	Literature & Fiction	Genre Fiction	person	55.6551992893														
000728019X	This Mitchell and Webb Book Hardcover	Humor & Entertainment	Humor	person	89.318305254	book	60.2354168892												
0007280998	Cut: The true story of an abandoned, abused little girl who was desperate to be part of a family Paperback	Parenting & Relationships	Family Relationships	person	99.0447282791														
0007281048	The Saddest Girl in the World Paperback	Parenting & Relationships	Family Relationships	person	93.9234018326														
0007281080	The Sun Two-Speed Crossword Collection Paperback	Humor & Entertainment	Puzzles & Games	stop sign	99.553912878														
0007285248	Ship of Rome (Masters of the Sea) Paperback	Literature & Fiction	Genre Fiction	dog	53.7826836109	pickelhaube	51.5196800232												
0007286120	Delphie and the Birthday Show (Magic Ballerina, Book 6) Paperback	Children's Books	Arts, Music & Photography	umbrella	68.7709391117														
0007286171	Delphie and the Glass Slippers (Magic Ballerina, Book 4) Paperback	Children's Books	Arts, Music & Photography	person	80.496275425														
0007287984	The White Raven (The Oathsworn Series, Book 3) Paperback	Literature & Fiction	Genre Fiction	person	65.2812898159	horse	52.733540535												
0007289499	Collins Whisky Map of Scotland (Collins Pictorial Maps) Map	Travel	Europe	lipstick	62.0172858238														
0007296541	Mog’s ABC Paperback	Children's Books	Early Learning	apple	72.4133491516														
0007298560	Crowbone (Oathsworn) Paperback	Literature & Fiction	Action & Adventure	person	63.9658510685	chain_mail	58.8113963604												
0007299273	The Girl in the Mirror Paperback	Literature & Fiction	Genre Fiction	person	99.4604766369														
0007299281	Run, Mummy, Run Paperback	Literature & Fiction	Genre Fiction	person	99.495357275	pajama	79.3655753136												
000729932X	Nightstorm and the Grand Slam (Pony Club Secrets, Book 12) Paperback	Children's Books	Growing Up & Facts of Life	sorrel	99.956125021	person	93.0982649326	horse	74.3962824345										
000730031X	Rosa and the Magic Moonstone (Magic Ballerina, Book 9) Paperback	Children's Books	Arts, Music & Photography	person	71.9891607761	umbrella	63.1252348423												
000730045X	The Autobiography of a Flea (Harper Perennial Forbidden Classics) Paperback	Literature & Fiction	Genre Fiction	banana	97.2949028015														
0007301987	Richard Bandler's Guide to Trance-Formation: Make Your Life Great. Paperback	Health, Fitness & Dieting	Alternative Medicine	person	99.5123207569	tie	84.7672462463												
0007302746	Dust and Steel			mousetrap	98.6211657524	person	60.0404262543												
0007304749	Running Blind / The Freedom Trap Paperback	Literature & Fiction	Action & Adventure	truck	58.686798811														
0007304781	Wyatt’s Hurricane / Bahama Crisis Paperback	Literature & Fiction	Action & Adventure	airplane	78.7926495075														
0007305850	The Times Killer Su Doku 5 (Bk. 5) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.999332428														
0007306202	Just a Little Run Around the World: 5 Years, 3 Packs of Wolves and 53 Pairs of Shoes Paperback	Reference	Writing, Research & Publishing Guides	person	94.1341340542														
0007307381	The Times Difficult Su Doku Book 2 (Bk. 2) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	93.4843540192	clock	66.2157356739												
0007309031	Entertaining at Home Hardcover	Cookbooks, Food & Wine	Entertaining & Holidays	groom	95.8632528782	person	94.0869688988	wine glass	55.9359133244										
000730904X	Easy Meals: Over 180 Delicious Recipes to get you Through your Busy Life Hardcover	Cookbooks, Food & Wine	Quick & Easy	person	94.4271981716	quill	66.3010537624	vase	52.6421368122										
0007309058	Cake Hardcover	Cookbooks, Food & Wine	Baking	person	95.1487183571	cake	69.8598086834												
0007313969	The Times Codeword Paperback	Humor & Entertainment	Puzzles & Games	Band_Aid	53.6027669907														
0007313993	The Times Jumbo Cryptic Crossword Book 9 Paperback	Humor & Entertainment	Puzzles & Games	crossword_puzzle	100														
0007315120	Virolution First Printing Edition	Science & Math	Biological Sciences	zebra	99.9994635582														
0007318537	Work Your Wardrobe: Gok's Gorgeous Guide to Style that Lasts Paperback	Arts & Photography	Graphic Design	person	95.9472119808														
0007319290	The Times Cryptic Crossword Book 14 Paperback	Humor & Entertainment	Humor	crossword_puzzle	100														
000731969X	The Times Killer Su Doku 6 (Killer Su Doku, Book 6) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.9993681908														
0007325169	Mummy Knew: A terrifying step-father. A mother who refused to listen. A little girl desperate to escape. Paperback	Parenting & Relationships	Family Relationships	person	99.3104755878	wig	90.4606640339												
0007326637	The Times Ultimate Killer Su Doku (Times Su Doku) Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	98.4651088715														
000733088X	I Did Tell, I Did: The True Story of a Little Girl Betrayed by Those Who Should Have Loved Her Paperback	Biographies & Memoirs	Memoirs	person	97.9080498219														
0007333463	The Prize (Pony Club Rivals, Book 4) Paperback	Children's Books	Animals	horse	93.9376831055	person	90.790194273												
0007337914	The Lion Wakes (Kingdom) Hardcover	Literature & Fiction	Genre Fiction	person	51.8522381783														
0007339259	Happy Kids: The Secrets to Raising Well-Behaved, Contented Children Paperback	Parenting & Relationships	Parenting	person	96.6937482357														
000733933X	Forever in My Heart: The Story of My Battle Against Cancer Paperback	Biographies & Memoirs	Arts & Literature	groom	99.2550253868	person	84.9132180214	bow_tie	60.09										
0007340931	Innocent Foxes Paperback	Literature & Fiction	Contemporary	person	93.4456527233														
0007344201	Birthdays for the Dead Paperback	Mystery, Thriller & Suspense	Thrillers & Suspense	person	99.4403064251														
000734421X	Shatter the Bones Hardcover	Mystery, Thriller & Suspense	Thrillers & Suspense	chair	92.3967719078														
0007345623	I Heart Vegas Paperback	Literature & Fiction	Women's Fiction	stop sign	94.4738388062	bottle	54.1230559349	umbrella	54.9499571323	theater_curtain	50.22								
000735018X	Someone to Love Us: The shocking true story of two brothers fostered into brutality and neglect Paperback	Biographies & Memoirs	Memoirs	person	95.1905369759														
0007351445	Captain of Rome (Masters of the Sea) Paperback	Literature & Fiction	Genre Fiction	stop sign	86.6914510727														
0007351747	David Mitchell: Back Story Paperback	Biographies & Memoirs	Arts & Literature	person	98.6997008324	bird	50.6865441799												
0007356374	Londongrad: From Russia with Cash;The Inside Story of the Oligarchs Paperback	Biographies & Memoirs	Historical	person	97.4431157112	Windsor_tie	83.4592223167	tie	74.2666304111										
0007359195	Keep the Home Fires Burning			person	94.5711553097														
0007359233	If You Were the Only Girl Paperback	Literature & Fiction	Genre Fiction	person	99.132579565														
0007361556	A Christmas Promise Paperback	Literature & Fiction	Genre Fiction	bow_tie	99.6609687805	person	92.5458967686												
0007361572	Only a Mother Knows. Annie Groves Paperback	Literature & Fiction	Genre Fiction	person	98.0085968971														
0007362544	Dark Blood (Logan McRae, Book 6) Paperback	Mystery, Thriller & Suspense	Mystery	cinema	68.3641195297														
000736296X	Mummy Told Me Not to Tell: The true story of a troubled boy with a dark secret Paperback	Parenting & Relationships	Family Relationships	person	99.4213402271	wig	68.5746490955												
0007364520	The Times Ultimate Killer Su Doku Book 2 Paperback	Humor & Entertainment	Puzzles & Games	oscilloscope	99.6732950211														
0007364539	The Times Fiendish Su Doku Book 4 Paperback	Humor & Entertainment	Puzzles & Games	stop sign	52.053630352														
0007364547	The Times Killer Su Doku Book 7 Paperback	Travel	Europe	oscilloscope	99.998497963														
0007368518	The Times Cryptic Crossword Book 15 Paperback	Humor & Entertainment	Humor	crossword_puzzle	100														
0007368534	The Times Jumbo Cryptic Crossword Book 10 Paperback	Humor & Entertainment	Puzzles & Games	crossword_puzzle	99.9094367027														
000737139X	Usain Bolt: My Story: 9.58: Being the World's Fastest Man Hardcover	Biographies & Memoirs	Leaders & Notable People	person	98.6048579216	shower_cap	65.283036232												
0007371411	Faster than Lightning: My Autobiography Hardcover	History	Americas	person	99.517595768														
0007371861	Crooked Hardcover	Arts & Photography	Music	bakery	97.3358392715														
0007374755	My Dad’s a Policeman (Quick Reads) Paperback	Literature & Fiction	Genre Fiction	person	91.9570684433														
0007383029	Kitchen Hero Hardcover	Cookbooks, Food & Wine	Regional & International	person	98.9631652832	potter's_wheel	88.9103412628	bottle	71.9532012939	bowl	57.246530056								
0007394764	Great British Railway Journeys Hardcover	Engineering & Transportation	Transportation	boat	52.5611162186														
0007395442	Short Walks in Dorset: Guide to 20 Easy Walks of 3 Hours or Less (Collins Ramblers Short Walks) Paperback	Travel	Europe	seashore	87.0487332344														
0007395906	The Peregrine Paperback	Science & Math	Nature & Ecology	bird	95.4454183578														
0007415508	Kitchen Hero Hardcover	Cookbooks, Food & Wine	Regional & International	person	98.8593935966														
000741577X	The Black Jackals Paperback	Literature & Fiction	Genre Fiction	person	83.7230682373														
0007419023	I Remember, Daddy: The Harrowing True Story of a Daughter Haunted by Memories Too Terrible to Forget Paperback	Self-Help	Abuse	person	99.4383335114														
